PermitType,PermitNum,Description,StatusCurrent,AppliedDate,CompletedDate,Applicant,FromLUD,ProposedLUD,Address,LocationAddresses,LocationCount,Latitude,Longitude,multipoint
LU / OP / Closure (LOC),LOC1982-0001,Converted Job - Land Use Amendment,Cancelled,1982/01/05,1999/01/01,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0002,Converted Job - Land Use Amendment,Approved,1982/01/18,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0003,Converted Job - Land Use Amendment,Approved,1982/01/08,1982/07/28,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0004,Converted Job - Land Use Amendment,Approved,1982/02/01,1982/07/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1995-0032,Converted Job - Land Use Amendment,Under Review,1995/04/17,,GENERIC CONTRACTOR BUSINESS - ID,,,6060 86 AV SE,,,,,
LU / OP / Closure (LOC),LOC1982-0005,Converted Job - Land Use Amendment,Approved,1982/01/20,1987/07/20,,,,11825 24 ST SE,,,,,
LU / OP / Closure (LOC),LOC1982-0006,Converted Job - Land Use Amendment,Approved,1982/01/22,1982/10/04,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0007,Converted Job - Land Use Amendment,Approved,1982/01/25,1982/05/10,,,,1909 28 ST SW,1909 28 ST SW,1,51.037393245834075,-114.1282991389307,MULTIPOINT ((-114.128299138931 51.037393245834))
LU / OP / Closure (LOC),LOC1982-0008,Converted Job - Land Use Amendment,Cancelled,1982/01/25,1999/01/01,,,,4411 16 AV NW,4411 16 AV NW,1,51.06818209940366,-114.15883938860571,MULTIPOINT ((-114.158839388606 51.068182099404))
LU / OP / Closure (LOC),LOC1982-0009,Converted Job - Land Use Amendment,Approved,1982/01/25,1982/06/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0010,Converted Job - Land Use Amendment,Approved,1982/01/25,1982/03/16,,,,6810 6 ST SE,6810 6 ST SE,1,50.992326490495905,-114.04847983947353,MULTIPOINT ((-114.048479839474 50.992326490496))
LU / OP / Closure (LOC),LOC1982-0011,Converted Job - Land Use Amendment,Approved,1982/01/25,1982/10/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0012,Converted Job - Land Use Amendment,Approved,1982/01/27,1982/04/20,,,,1413 2 ST SW,1413 2 ST SW,1,51.03907214617979,-114.0685953135414,MULTIPOINT ((-114.068595313541 51.03907214618))
LU / OP / Closure (LOC),LOC1982-0013,Converted Job - Land Use Amendment,Approved,1982/01/28,1982/09/07,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0014,Converted Job - Land Use Amendment,Cancelled,1982/01/29,1999/01/01,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0015,Converted Job - Land Use Amendment,Refused,1982/02/01,1982/07/20,,,,2837 16 AV SE,2837 16 AV SE,1,51.038589067503686,-113.99338003725666,MULTIPOINT ((-113.993380037257 51.038589067504))
LU / OP / Closure (LOC),LOC1982-0016,Converted Job - Land Use Amendment,Approved,1982/02/04,1982/05/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0017,Converted Job - Land Use Amendment,Approved,1982/02/03,1982/07/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0018,Converted Job - Land Use Amendment,Cancelled,1982/02/03,1982/03/31,,,,5320 8 AV SE,5320 8 AV SE,1,51.045309229648886,-113.9565893629851,MULTIPOINT ((-113.956589362985 51.045309229649))
LU / OP / Closure (LOC),LOC1982-0019,Converted Job - Land Use Amendment,Approved,1982/02/08,1982/06/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0020,Converted Job - Land Use Amendment,Approved,1982/02/09,1982/06/14,,,,909 11 AV SW,909 11 AV SW,1,51.04276787632768,-114.08203882102123,MULTIPOINT ((-114.082038821021 51.042767876328))
LU / OP / Closure (LOC),LOC1982-0021,Converted Job - Land Use Amendment,Approved,1982/02/09,1982/07/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1982-0022,Converted Job - Land Use Amendment,Approved,1982/02/01,1982/06/14,,,,,,,,,
LU / OP / Closure (LOC),LOC2021-0120,Land Use Amendment to accomodate MU-1,Submitted,2021/07/16,,K5 DESIGNS,R-C1,MU-1,4504 14 ST NW,4504 14 ST NW,1,51.09249300447279,-114.0944743175945,MULTIPOINT ((-114.094474317594 51.092493004473))
LU / OP / Closure (LOC),LOC1982-0023,Converted Job - Land Use Amendment,Approved,1982/02/10,1982/05/10,,,,1322 13 AV SW,1322 13 AV SW,1,51.041424980967825,-114.09273830462317,MULTIPOINT ((-114.092738304623 51.041424980968))
